mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,mfcc_41,mfcc_42,mfcc_43,mfcc_44,mfcc_45,mfcc_46,mfcc_47,mfcc_48,mfcc_49,mfcc_50,mfcc_51,mfcc_52,label
-255.7286377,-3.634182453,-69.12220764,40.04719162,25.05602264,-15.91370773,-5.086860657,22.98664856,7.379062176,-16.82772064,10.88077354,18.07795334,-10.0964241,-0.558419108,13.69924641,2.408013344,-2.330360413,0.039594233,13.89476204,-2.661226034,-6.416664124,12.03821087,1.757667303,-4.021408081,3.396592617,5.633199692,1.117008209,-2.970621824,3.828335047,8.463559151,-5.945268631,0.71248132,7.645874023,-3.274332523,0.900158525,1.223276615,4.338820457,0.890626907,-4.204171658,8.16226387,0.915201783,-2.162267208,3.786361456,2.201993465,-0.023277938,0.071857631,0.291831791,5.204111099,-2.671397209,1.254277468,4.738274574,-3.000057459,1
-311.7209778,-8.808200836,-69.17709351,45.06012726,26.54336548,-15.90744019,-8.55769825,28.53365326,10.17885208,-23.58760452,14.71222496,24.38861465,-15.84140491,2.197999954,17.14249802,3.374389172,-1.406337023,-3.431927681,22.60247421,-6.711421967,-8.896774292,17.75228882,0.276152372,-4.011281013,3.080942154,8.794298172,0.778534114,-2.877860308,3.006480694,14.99302197,-10.75806999,3.195972204,9.826637268,-5.379691124,3.111364126,-0.821361661,7.264463425,1.338210106,-6.263637543,12.24656105,0.367853373,-1.581572771,4.539762497,3.41899538,0.051941559,1.153828502,-1.261446476,8.496790886,-3.972881317,1.597819209,6.864106655,-4.55789423,1
-443.6806335,-21.39685822,-48.60716248,49.32138824,32.58421707,-29.05386734,-25.50164032,50.29864502,16.58387375,-46.0384407,29.19970703,37.80760956,-27.93900108,16.82847595,27.96118927,7.546927929,1.958010316,-8.148657799,39.47619629,-12.76027489,-16.09591675,28.49922752,-0.473221332,-1.79959774,3.92719841,13.97285271,5.318315506,0.700195432,-3.926314116,26.33120346,-9.638893127,8.269885063,13.52572918,-4.464576721,11.84989166,-5.729786396,5.678306103,5.528610229,-8.61463356,16.30129051,0.749135613,0.64026618,6.041924953,7.014588356,2.049134254,4.878716469,-4.869282722,7.588150024,-0.954849303,1.071384788,7.735380173,-3.013113499,1
-440.4102173,-13.04929638,-47.46286011,43.08570099,33.10708618,-21.28997993,-25.98323631,46.9469223,17.90044785,-42.13072586,32.54460526,39.10914612,-26.81533241,17.27048492,33.28669739,9.383541107,-4.832346916,-9.147577286,41.11297226,-10.7868824,-17.82811356,25.9510994,3.289891481,1.308130741,5.010419846,12.57982445,4.134293556,2.109932184,-2.176709652,22.96134567,-13.27343273,5.039631844,17.30827713,-2.657171726,10.48489475,-7.858615875,4.929556847,9.217325211,-6.892388344,15.80527592,-0.48952961,-0.206141233,8.577214241,4.537755966,-2.69537425,2.34905386,-1.78122437,10.70908737,-1.793917418,1.250878096,8.147609711,-3.873967648,1
-439.4694519,-10.44472885,-45.77502441,41.16022491,37.59879303,-8.730476379,-24.0920372,46.85268784,17.84950256,-41.86504745,39.3409462,43.37301636,-24.71223068,14.50880814,32.18566895,9.204199791,-11.25422287,-9.698459625,38.23002243,-10.37974358,-13.37722588,24.2553215,5.314555645,4.174747467,5.486632347,14.36855316,4.584666729,2.086380005,-3.308346748,24.13235474,-10.94520378,1.219694257,18.73952103,-2.895096302,11.12190056,-2.862421513,7.485181808,10.09797764,-8.610521317,16.34864235,1.012574196,-1.505364656,9.912647247,5.69254446,0.445133686,2.084779263,-2.694070816,11.73141766,-1.249020576,1.259293318,7.698906898,-6.961678505,1
-438.7112427,-9.235509872,-43.66870499,47.22613525,39.28935242,-6.935774803,-19.84170532,49.84720993,14.87613297,-44.49461365,38.81169128,42.28895569,-22.38832855,11.0496769,25.07666016,11.23099709,-7.74665308,-9.94408226,34.29642487,-11.23499107,-12.41407394,22.47141266,4.772082329,1.023081779,7.140698433,19.42360497,6.603711128,0.932982683,-2.812779903,23.65414429,-7.687048912,7.35913229,20.02767372,-9.808432579,8.950299263,2.03785038,11.43291378,11.56031513,-7.581060886,16.25397682,1.383257985,-1.014997005,8.159314156,3.691126347,6.04093647,7.400911808,-2.737837076,10.66789818,-3.148361206,1.71859026,11.37051868,-2.795845509,1
-440.8313599,-5.954111576,-40.23693085,47.92007065,39.91811752,-5.985123634,-16.6987133,50.50741577,14.15322304,-43.63507843,38.44915009,41.17163849,-26.47911072,8.003583908,26.21899033,14.12728214,-7.273569107,-10.95327854,34.05239487,-11.79008961,-12.42125893,23.24468231,4.553849697,-1.124223351,3.90362215,15.0330534,3.946085453,0.042875409,1.019113421,23.69972038,-8.146192551,11.88724995,20.46337128,-10.11742687,8.738006592,1.11908114,11.79658508,8.450784683,-9.234288216,12.21046829,-0.833451271,0.430767626,8.367609024,3.281130552,5.945831299,6.958374977,-3.059888363,10.31264877,-3.687730312,1.135895252,8.821300507,-2.620196819,1
-444.4211731,-10.12031555,-45.31364441,49.4157753,41.98965454,-8.591329575,-13.50596619,54.03663635,14.47321987,-40.72441101,39.76737213,40.12731171,-29.58075905,9.202968597,30.88679123,17.22788429,-1.974551082,-5.67593956,38.71282196,-8.411138535,-12.2221489,25.58233643,8.079554558,-0.929536819,-1.600237608,9.319890022,4.843434334,0.409269631,-0.228477836,19.43952942,-9.620980263,11.14181137,15.0177002,-12.46550751,10.42261696,-0.380282164,7.454241753,5.008239746,-8.63120842,8.548422813,-3.671783447,2.020712614,4.317029953,-1.546381116,4.643951416,5.167442799,-1.662636638,13.57457161,-0.129304022,1.609004974,6.825301647,-2.166652203,1
-448.4141846,-9.310752869,-47.4612236,49.9512558,43.67586517,-11.8164711,-14.98942375,53.10133743,14.60527039,-40.14319611,36.1353569,41.24827576,-22.48233986,12.91740799,28.04619598,10.68139458,-0.957267404,-1.114791155,37.67966843,-3.167145252,-10.5914917,22.2706871,6.359102249,-2.278392315,0.506564617,9.860411644,4.41593647,-4.797337532,-4.460882187,19.60542297,-9.07694912,4.408503056,15.54986382,-7.456099987,11.79635143,-1.044113398,6.131933212,5.42117691,-9.175832748,7.124782085,-2.392160892,1.451634407,6.591431141,-0.822480202,2.376771212,5.324498177,0.404966474,12.87775612,0.843581796,2.110124588,7.562290192,-3.540646315,1
-455.6992493,2.289367199,-41.20947647,50.99855804,47.51236725,-12.79841614,-14.44552231,44.20866013,16.28642273,-27.45616531,28.39731598,34.72354126,-15.87945557,11.67916298,26.58131027,7.210926056,-3.865140438,-4.613392353,25.53117752,1.824765563,-9.587566376,18.47303009,8.554353714,-4.381827831,4.978370667,12.81134224,7.06071949,-6.802493095,-4.934793949,19.46810532,-4.978284836,-2.677253962,15.83052254,-1.490269899,9.786128998,1.65985477,7.173509598,6.035538197,-7.959446907,9.762189865,3.482353449,-4.513807297,3.249360561,1.727987528,4.211155415,5.839362144,-1.001976848,8.201457024,0.200571418,1.498307705,10.41403198,-2.013540506,1
-451.68927,-22.11904907,2.408406258,21.69458389,30.13036537,7.043633461,-28.04189301,47.91207886,-18.1729393,16.24712563,-2.890623093,43.03932953,-5.971535683,-1.517225266,40.23489761,-5.082153797,11.85563087,-13.29202175,30.37402725,-9.465574265,4.951610565,12.76592159,10.93572235,7.096586704,-5.76421833,28.1244278,-2.76583457,4.805077553,-4.865716934,16.64330864,4.260444164,-4.43881321,19.43436241,-0.503607988,9.450468063,0.727621317,10.18888283,4.369391441,-6.026871681,8.676651001,6.367144585,3.428946018,-0.597560763,7.861561775,6.642225266,4.509043694,5.074942589,6.049770355,1.403462648,-1.085095644,7.78008461,1.40777564,1
-432.72052,-62.1231842,28.90683556,13.16035271,-5.950404167,29.34720612,-26.28285789,38.4090271,-29.72958374,44.70766449,-24.5110054,40.71937561,3.14648962,4.195958614,32.30706787,-10.19863605,26.09873772,-12.30605125,26.78318024,-5.444657326,10.2605505,10.52549648,4.725547314,11.67504501,0.159288883,21.23779678,-4.938209057,6.695389748,6.532033443,6.876332283,8.476401329,5.370394707,16.56640625,0.926633716,7.992427349,5.951322079,5.179084778,3.991906643,2.054904938,6.05356884,0.34766677,5.936443329,3.908060551,10.09897804,5.335212708,5.149712563,4.822268963,-0.122038364,-0.413127482,-1.697108626,6.034293175,0.701547563,1
-411.4878845,-74.78845215,35.10219574,14.04322433,-13.4904356,38.06797028,-28.43888092,41.46814346,-30.60186768,45.40245438,-29.36288071,46.22303009,1.359881043,5.168606758,30.07201195,-18.99340248,24.1840744,-10.88711739,28.68986893,-6.874464989,7.507575035,11.89998436,0.160491228,9.91765213,-3.218517542,18.37311935,-4.93229866,9.58111763,7.06793642,0.334692597,8.166547775,4.660618782,15.97001076,2.591352463,10.74002457,5.676163673,1.411305904,4.041804314,3.324225426,7.098950863,0.395335138,1.445153475,1.198215842,8.464274406,4.628437519,7.823834419,6.602969646,0.519190431,0.448652923,-1.009195089,7.614310741,-0.378685981,1
-399.2902832,-70.21331787,47.82506943,26.18919945,-9.336177826,48.24739838,-32.18984985,50.07442856,-23.84980774,42.58034897,-33.71289825,43.87029266,-5.334061623,-0.243487448,25.13597107,-26.82806778,19.67543411,-22.30978394,23.45609093,-13.47602272,1.222545385,7.977347374,1.68372035,11.7891264,-7.239060402,14.24629307,-3.80800581,11.69088554,8.909267426,-0.302749872,12.84635162,6.445048332,14.49706554,2.180374146,9.418138504,5.153956413,1.288838148,4.662076473,0.21417141,7.760195255,1.179128408,-0.436856747,0.391661972,5.35450983,3.603133202,10.06829643,6.922725677,0.828624845,-1.661144018,-2.076178551,5.683767319,0.816685081,1
