Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13
-211.93698,62.58122,-122.813156,-60.745296,-13.893755,-29.789837,-3.9788709,11.682741,12.963834,8.33642,-6.529818,-2.996104,-12.887945
-417.00525,99.336624,-42.995586,51.073326,9.853778,7.9696927,11.197088,1.9291176,7.0303974,4.270228,-3.5847254,13.890946,-2.7644932
-452.39316,112.36253,-37.578075,43.195866,8.631845,15.379369,16.882149,1.233047,6.8331213,3.900115,-5.16885,8.300045,1.9041383
-406.47922,91.19661,-25.043556,42.784523,11.586844,5.0541644,12.431632,-1.5999491,6.6560636,1.4423542,-4.6248703,14.211007,0.4342714
-439.63873,103.86224,-42.658787,50.690285,12.209422,15.873466,11.729268,1.5335855,11.292243,2.548621,-7.2909727,10.374461,2.1018367
-441.0859,108.92061,-25.777704,47.518368,10.559944,17.494894,13.253758,4.4946084,5.4987235,3.7522376,-2.0476532,8.526797,3.1174972
-469.4197,109.28012,-18.45655,46.043015,11.825915,17.28823,10.015719,3.0386167,6.914885,2.9937265,-0.9570152,11.985637,2.7677846
-457.14648,106.52767,-19.124525,39.871788,4.823955,22.05125,16.051298,7.6270475,6.4653544,5.7486687,-2.0007896,9.2373,1.5500594
-466.2642,118.13225,-29.881447,50.494637,5.1781855,21.636284,13.622515,7.285783,8.189788,3.1339178,-2.2994,13.043378,0.5957656
-188.62564,102.42912,-2.3306005,-10.946155,-8.982676,-15.690953,-30.035513,-6.154767,-9.007837,-12.61334,-10.587378,-1.1968124,-13.455126
-195.33371,99.12281,-16.376387,2.7363455,-14.81755,-22.51054,-14.410313,-6.2838283,-17.809626,-0.27872968,-11.932,-3.0626042,-15.994423
-200.00316,79.35082,-13.392574,17.59861,-14.15673,-16.691837,-7.9829426,-8.638725,-20.973171,-0.726569,-10.111338,-15.03731,-1.3193898
-196.05118,90.81921,-17.248508,14.91505,-9.066443,-14.556082,-11.626996,-2.5020802,-25.558418,0.6637597,-7.8976965,-5.4851756,-14.353751
-114.12535,53.49516,-10.33803,10.012977,2.3261802,-16.321623,-21.84157,5.216528,-22.57833,-4.0594196,-7.6487203,0.71237004,-9.819508
-2.73E+02,9.69E+01,-8.62E+01,-9.17E+00,4.17E+00,-1.69E+01,-1.35E+01,-1.51E-01,-6.59E+00,1.27E+01,1.11E+01,1.06E+01,2.82E+00
-291.95013,100.77207,-94.79775,-11.993613,7.069187,-18.438425,-16.285732,-1.0658551,-8.600838,10.796625,11.014712,12.148187,2.7213526
-300.35446,102.79728,-90.32626,-12.500055,9.068974,-20.856758,-16.338362,-2.2118826,-5.525258,13.168405,9.198417,9.296827,1.7115625
-298.82608,103.67768,-94.644806,-13.0642,10.258677,-25.48512,-16.722874,-4.510607,-4.012285,13.754401,13.553985,11.025496,0.59173936
